"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"12","Ford To Put Fully Autonomous Cars On The Road By 2021 https://t.co/oRTRLK9XYW via @PopSci #Automotive #News https://t.co/jfdEsvCJoP",FALSE,0,NA,2016-09-02 14:16:02,FALSE,NA,"771713295980068864",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TurnedPart",0,FALSE,FALSE,NA,NA
"13","The new #DS3 is crafted for performance... Check out the latest short at https://t.co/M9cFbpscQU and visit us for your own #testdrive!",FALSE,0,NA,2016-09-02 14:15:18,FALSE,NA,"771713113515229184",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","DS_sunderland",0,FALSE,FALSE,NA,NA
"14","@Kallumm7 how do you know it's been bought for them? Maybe they are working and can afford a new car <ed><U+00A0><U+00BE><ed><U+00B4><U+0094>",FALSE,0,"Kallumm7",2016-09-02 14:15:09,FALSE,"771712904617947136","771713073308692485","791857231","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ambeerfrancis",0,FALSE,FALSE,NA,NA
"15","Like this advice on improving #air quality at #schools from @LSx_News Says #car drivers cld switch off more https://t.co/g4scjHYPwr",FALSE,0,NA,2016-09-02 14:15:03,FALSE,NA,"771713048931368960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eaglesandrew",0,FALSE,FALSE,NA,NA
"16","Mum and dad been testing the self park on the new car in the Costco car park! https://t.co/gmkHfYSzjO",FALSE,1,NA,2016-09-02 14:14:34,FALSE,NA,"771712928689029120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TobeTheBT",0,FALSE,FALSE,NA,NA
"18","No I am not having a #car #boot #sale but it feels like I may need one if my #achilles doesn't… https://t.co/P9LoOdy0XK",FALSE,1,NA,2016-09-02 14:13:22,FALSE,NA,"771712626497822720",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","simplenowis",0,FALSE,FALSE,NA,NA
"19","Finally got to visit @glouc_services Great Farm Shop #farmshop #gloucesterservices #roadtrip https://t.co/p5VmEo44jN",FALSE,1,NA,2016-09-02 14:13:20,FALSE,NA,"771712618226647042",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ruralraconteur",0,FALSE,FALSE,NA,NA
"20","High volume machining industries served include #Automotive #Braking #Systems https://t.co/YnsEt0QyWJ",FALSE,0,NA,2016-09-02 14:13:08,FALSE,NA,"771712568217915392",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MullerEngland",0,FALSE,FALSE,NA,NA
"21","Controller: OFFICE CONTROLLER The Reedman-Toll Auto Group is growing and we are looking for... https://t.co/0DU1Q0uT8E #jobs #automotive",FALSE,0,NA,2016-09-02 14:12:23,FALSE,NA,"771712378744377345",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","EmployMeFirst",0,FALSE,FALSE,NA,NA
"22","In #order to get #valuable #advice on the latest #tricks of #driving, do #avail the #assistance from this... https://t.co/un7m6ZbiEB",FALSE,0,NA,2016-09-02 14:12:03,FALSE,NA,"771712296632528897",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","SkyBlue_Driving",0,FALSE,FALSE,NA,NA
"23","Inbuilt air-conditioning. 
#Malta #fan #airconditioning #car #onlyinmalta https://t.co/jXFxXaSYBo https://t.co/WtOiy77zQS",FALSE,0,NA,2016-09-02 14:11:27,FALSE,NA,"771712144261996544",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","tomcamilleri",0,FALSE,FALSE,NA,NA
"24","A #pocketclassics #car is one of the ultimate ways to have some #family #fun before going back to #school. https://t.co/xhmMLV68b6",FALSE,0,NA,2016-09-02 14:11:27,FALSE,NA,"771712142584246272",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pocketclassics",0,FALSE,FALSE,NA,NA
"25","RT @MultiTrades_Rec: £35M boost to Midlands automotive sector https://t.co/Nvun5vxPyi #automotive #sbutd https://t.co/92R2EMUCeD",FALSE,0,NA,2016-09-02 14:11:01,FALSE,NA,"771712034543169540",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","AwardingMothers",2,TRUE,FALSE,NA,NA
"26","NetComposites discuss @iacmihq latest project involving advances of #composite materials in #automotive parts https://t.co/XLYUSb2xOy",FALSE,0,NA,2016-09-02 14:10:38,FALSE,NA,"771711936564199424",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","dtcdirecttools",0,FALSE,FALSE,NA,NA
"27","Fleet Sales Representative: Are You Built This Way? We are people taking care of people... ... https://t.co/kUdLXpUnn6 #jobs #automotive",FALSE,0,NA,2016-09-02 14:10:34,FALSE,NA,"771711922152443905",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","EmployMeFirst",0,FALSE,FALSE,NA,NA
"28","@_zoeparton so angry! I was like I've just bought a new car!! I was supposed to have guaranteed 8 hours a week!! But sorted now I hope!",FALSE,0,"_zoeparton",2016-09-02 14:09:26,FALSE,"771710210197032960","771711635434201088","349001549","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EdenAlisha",0,FALSE,FALSE,NA,NA
"29","Book in with @ReepDetailing to get the best #new #car #protection today from @Swissvaxuk @KochChemieUK &amp;... https://t.co/HzfUJLdxHD",FALSE,0,NA,2016-09-02 14:09:08,FALSE,NA,"771711561647923200",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","ReepGroup",0,FALSE,FALSE,NA,NA
"30","Book in with @ReepDetailing to get the best #new #car #protection today from @Swissvaxuk @KochChemieUK &amp; @GtechniqUK https://t.co/9hxqaUFr5p",FALSE,0,NA,2016-09-02 14:09:03,FALSE,NA,"771711538235338754",NA,"<a href=""http://meetedgar.com"" rel=""nofollow"">Meet Edgar</a>","ReepGroup",0,FALSE,FALSE,NA,NA
"31","£35M boost to Midlands automotive sector https://t.co/Nvun5vxPyi #automotive #sbutd https://t.co/92R2EMUCeD",FALSE,0,NA,2016-09-02 14:09:01,FALSE,NA,"771711532975566852",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","MultiTrades_Rec",2,FALSE,FALSE,NA,NA
"32","RT @PhotoByStef: Great morning up at @TheFishHotel shooting #BrandNew #epic #AstonMartin in their #lux #car #friendly #Meetingroom https://…",FALSE,0,NA,2016-09-02 14:08:46,FALSE,NA,"771711468865806336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","masatostudio",1,TRUE,FALSE,NA,NA
"33","Automotive Sales Manager: Experienced sales manager needed: A well-established dealership i... https://t.co/lQGG0DHM0t #jobs #automotive",FALSE,0,NA,2016-09-02 14:08:40,FALSE,NA,"771711443976589312",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","EmployMeFirst",0,FALSE,FALSE,NA,NA
"34","Today is a big day. Picking up a new car and adopting the family cat (18 year old)",FALSE,1,NA,2016-09-02 14:07:21,FALSE,NA,"771711110978408448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JamesCoyne",0,FALSE,FALSE,NA,NA
"35","TALIFI are looking for #automotive #automotivespice #english #german #embedded #engineer #software #controlsystems #…https://t.co/68cFmJODce",FALSE,0,NA,2016-09-02 14:06:45,FALSE,NA,"771710960629186564",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","TALIFI_Pooja",0,FALSE,FALSE,NA,NA
"36","@bodie4paws dad been allowed go in mums new car https://t.co/s5zjoNluWx",FALSE,1,"bodie4paws",2016-09-02 14:06:37,FALSE,NA,"771710929398530049","268549015","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TobeTheBT",0,FALSE,FALSE,NA,NA
"37","This #job might be a great fit for you: IS Infrastructure Analyst (m/f) - https://t.co/kZxFvBuBeA #Automotive #Pontypool #Hiring #CareerArc",FALSE,0,NA,2016-09-02 14:05:50,FALSE,NA,"771710731397963777",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_UKC_auto",0,FALSE,FALSE,"-3.045268","51.700369"
"38","Where will you go this weekend? #Roadtrip #FridayFeeling #Explore https://t.co/6PreiII5Ar",FALSE,1,NA,2016-09-02 14:05:14,FALSE,NA,"771710580776460289",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ChilliDrive",0,FALSE,FALSE,NA,NA
"39","So happy to be getting a new car <ed><U+00A0><U+00BD><ed><U+00BA><U+0097><U+263A><U+FE0F>",FALSE,0,NA,2016-09-02 14:05:02,FALSE,NA,"771710528725086212",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ashley_Murray94",0,FALSE,FALSE,NA,NA
"40","1 week into Ireland and my mom is already making my dad get her a new car bc her current one is ""too wide""",FALSE,0,NA,2016-09-02 14:04:29,FALSE,NA,"771710388777938944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","venutoswag",0,FALSE,FALSE,NA,NA
"41","RT @Insurercore: #Funfacts: In the early #insurance documents #cars were described as 'ships navigating on land'. #underwriter https://t.co…",FALSE,0,NA,2016-09-02 14:03:35,FALSE,NA,"771710166173618177",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pkskecb02",2,TRUE,FALSE,NA,NA
"42","need to start looking for a new car<ed><U+00A0><U+00BD><ed><U+00BA><U+0097><ed><U+00A0><U+00BD><ed><U+00B2><U+00B8>",FALSE,0,NA,2016-09-02 14:03:01,FALSE,NA,"771710023563173888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","oliviahammondd",0,FALSE,FALSE,NA,NA
"43","Who doesn't want to save money? Read cartime's tips for lowering the costs of your #car: https://t.co/HLHUk5U3dK",FALSE,0,NA,2016-09-02 14:02:44,FALSE,NA,"771709952255725568",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","cartimeBury",0,FALSE,FALSE,NA,NA
"44","Favourite our post if you want this #supercar! #cars #carphotography https://t.co/pTb0O1PRCD",FALSE,0,NA,2016-09-02 14:02:44,FALSE,NA,"771709951865675776",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","ChipsAwayUK",0,FALSE,FALSE,NA,NA
"45","Check out our events page for details of upcoming #automotive #engineering shows and conferences https://t.co/jFsPi3pdAR",FALSE,0,NA,2016-09-02 14:02:43,FALSE,NA,"771709947402981376",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","aeplus",0,FALSE,FALSE,NA,NA
"46","OFFERS WANTED - GLO5 KLM #MAZDA 6 93000 Miles #carsforsale #cars

VIEW - https://t.co/vd8aZkmYi3 #cars #carsforsal… https://t.co/U7rlAAJlB0",FALSE,0,NA,2016-09-02 14:02:23,FALSE,NA,"771709862640246784",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","dealerbid",0,FALSE,FALSE,NA,NA
"47","ARCHIE SCOTT BROWN IN THE LISTER- #JAGUAR Print Available Now #motorsport #cars #motoracing https://t.co/YDCsWbM2ob https://t.co/rLuOlxvNwc",FALSE,0,NA,2016-09-02 14:02:18,FALSE,NA,"771709840473333760",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","AutosUK_",0,FALSE,FALSE,NA,NA
"48","OFFERS WANTED - WR09VKP #MITSUBISHI COLT CZ2 89000 Miles #carsforsale #cars

VIEW - https://t.co/4xcn9IqSt6 #cars … https://t.co/agQ0DqovGt",FALSE,0,NA,2016-09-02 14:02:17,FALSE,NA,"771709835968741377",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","dealerbid",0,FALSE,FALSE,NA,NA
"49","BMW X1 review: better than an Audi Q3? https://t.co/x70oTGyNTf #Automotive #Cars #tradevalue #value",FALSE,0,NA,2016-09-02 14:02:00,FALSE,NA,"771709765017821184",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","AutoeuropeLtd",0,FALSE,FALSE,NA,NA
"50","Leanne's new Fiat 500 dropped off at her home address! 

Enjoy your new car!! 

https://t.co/9asyUNBRmj

@Motorparks https://t.co/e5mzMazapC",FALSE,0,NA,2016-09-02 14:01:49,FALSE,NA,"771709721573294080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Bolton_Motorprk",0,FALSE,FALSE,NA,NA
"51","Neurodiversity training day
https://t.co/CaGklYVMve 
#ukdriving #driving #autism #training #drivertrainer #drivered https://t.co/8lv0wDehDb",FALSE,0,NA,2016-09-02 14:01:11,FALSE,NA,"771709561795383296",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","the_DIA",0,FALSE,FALSE,NA,NA
"52","GLO5 KLM #MAZDA 6 93000 Miles #carsforsale #cars

Full Details - https://t.co/6SBIhq7Gqe https://t.co/UeHJ42i6jL",FALSE,0,NA,2016-09-02 14:00:34,FALSE,NA,"771709403888320512",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","NicolaGear",0,FALSE,FALSE,NA,NA
"53","Bus Operator: Operates a bus over an established route adhering to predetermined schedule i... https://t.co/ybA2nVYhU2 #jobs #automotive",FALSE,0,NA,2016-09-02 14:00:30,FALSE,NA,"771709388314726400",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","EmployMeFirst",0,FALSE,FALSE,NA,NA
"54","WR09VKP #MITSUBISHI COLT CZ2 89000 Miles #carsforsale #cars

Full Details - https://t.co/tttIXUt7vI https://t.co/ZsrLAtJ79F",FALSE,0,NA,2016-09-02 14:00:29,FALSE,NA,"771709383172644864",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","NicolaGear",0,FALSE,FALSE,NA,NA
"55","Latest stock! #Ford #Fiesta in Red £9,979 - https://t.co/FY5tM2YqS9 View this &amp; more #cars &amp; #vans for sale https://t.co/4JA75DODiC",FALSE,0,NA,2016-09-02 14:00:11,FALSE,NA,"771709310061703168",NA,"<a href=""http://www.perrys.co.uk"" rel=""nofollow"">Perrys</a>","Latestford",0,FALSE,FALSE,NA,NA
"56","Middle Aged Road Trip - Episode 4 -  #cars #onlymotors #topgear https://t.co/ROU1tOtZTn",FALSE,0,NA,2016-09-02 14:00:10,FALSE,NA,"771709304881709056",NA,"<a href=""http://www.leavingworkbehind.com"" rel=""nofollow"">Evergreen Post Tweeter</a>","onlymotors",0,FALSE,FALSE,NA,NA
"57","Latest stock! #Mercedes #CLC in  £8,494 - https://t.co/0AfdjDFzFm View this &amp; more #cars &amp; #vans for sale https://t.co/s0DiKkVte6",FALSE,0,NA,2016-09-02 14:00:09,FALSE,NA,"771709301400473601",NA,"<a href=""http://www.perrys.co.uk"" rel=""nofollow"">Perrys</a>","LatestStock",0,FALSE,FALSE,"-0.938374","53.317638"
"58","Latest stock! #Vauxhall #Antara in  £11,994 - https://t.co/pepVpTaSDo View this &amp; more #cars &amp; #vans for sale https://t.co/8cJmMcQhpG",FALSE,0,NA,2016-09-02 14:00:04,FALSE,NA,"771709277757181953",NA,"<a href=""http://www.perrys.co.uk"" rel=""nofollow"">Perrys</a>","latestvauxhall",0,FALSE,FALSE,NA,NA
"59","Finally getting my new car sorted <ed><U+00A0><U+00BD><ed><U+00BA><U+0098><ed><U+00A0><U+00BC><ed><U+00BE><U+0089>",FALSE,0,NA,2016-09-02 13:58:45,FALSE,NA,"771708947678003200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","slreynolds_",0,FALSE,FALSE,NA,NA
"60","RT @ShaunfromDurham: New month, new car on the calendar, @NSRoadsPolicing #Volvo XC90 for September! https://t.co/nTza7Vytol",FALSE,0,NA,2016-09-02 13:58:27,FALSE,NA,"771708870733524992",NA,"<a href=""http://filipe-pinto.com"" rel=""nofollow"">Volvo Fan App</a>","VolvoApp",1,TRUE,FALSE,NA,NA
"61","New month, new car on the calendar, @NSRoadsPolicing #Volvo XC90 for September! https://t.co/nTza7Vytol",FALSE,3,NA,2016-09-02 13:57:31,FALSE,NA,"771708639493124096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShaunfromDurham",1,FALSE,FALSE,NA,NA
"62","finally sold my first New Car <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081>",FALSE,1,NA,2016-09-02 13:56:32,FALSE,NA,"771708389227454464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mattcarroll100",0,FALSE,FALSE,NA,NA
"63","It's looking like we could end up with what @MBrundleF1 refers to as a 'Noah's Ark Grid' #2x2 #cars not #drivers https://t.co/AVldoOzD6U",FALSE,0,NA,2016-09-02 13:56:11,FALSE,NA,"771708303609106432",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","f1professor",0,FALSE,FALSE,NA,NA
"64","We don't just love vintage suits, this is Mr.VSHC's 1965 Beetle #VWBeetle #lownslow #vintagecars https://t.co/DhN9QmYKEU",FALSE,0,NA,2016-09-02 13:55:27,FALSE,NA,"771708119185588228",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vintagesuithire",0,FALSE,FALSE,NA,NA
"65","RT @losjones74: Look what I found on @eBay! https://t.co/awjHQ5qgIO via @eBay_UK beautiful safe travel gift set #Wicca #pagan #travel #cars…",FALSE,0,NA,2016-09-02 13:55:24,FALSE,NA,"771708103179907072",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","NordicBaltPagan",1,TRUE,FALSE,NA,NA
"66","very distressing that I should see a billboard for a car whilst already in transit via car. do they expect me to pull over n buy a new car?",FALSE,1,NA,2016-09-02 13:54:19,FALSE,NA,"771707831368163328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jeoush",0,FALSE,FALSE,NA,NA
"67","Automobile Drip Mat https://t.co/GCwCt4n6Hg #automobile #Drip #Mat https://t.co/cyueURUfJV",FALSE,0,NA,2016-09-02 13:53:19,FALSE,NA,"771707581572284416",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","wendytyler_82",0,FALSE,FALSE,NA,NA
"68","New car day <ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC> #66plate #scirocco",FALSE,0,NA,2016-09-02 13:53:09,FALSE,NA,"771707536735076352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VSambhi",0,FALSE,FALSE,NA,NA
"69","Haven't even had my new car a day and I have to leave it for a week <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",FALSE,0,NA,2016-09-02 13:51:19,FALSE,NA,"771707077345611776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Natashaashby95",0,FALSE,FALSE,NA,NA
"70","Look what I found on @eBay! https://t.co/awjHQ5qgIO via @eBay_UK beautiful safe travel gift set #Wicca #pagan #travel #cars #safety #drive",FALSE,0,NA,2016-09-02 13:50:32,FALSE,NA,"771706882192969728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","losjones74",1,FALSE,FALSE,NA,NA
"71","RT @Paul_Wisey: @GoSkippy after being put on by 3 separate people all telling me my new CAR is a van I will be cancelling with you. I just…",FALSE,0,NA,2016-09-02 13:50:29,FALSE,NA,"771706868112691200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Notgoskippy",1,TRUE,FALSE,NA,NA
"72","Editor’s comment: turbochargers will help the industry meet short-term needs https://t.co/fSJhS24R0n #Automotive #Engineering",FALSE,0,NA,2016-09-02 13:49:20,FALSE,NA,"771706578638663682",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","aeplus",0,FALSE,FALSE,NA,NA
"73","Managed to get my new car home from Cheshire Oaks in one piece, now just building up the courage to drive it anywhere else...",FALSE,0,NA,2016-09-02 13:47:26,FALSE,NA,"771706102010576900",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katiemoran7",0,FALSE,FALSE,NA,NA
"74","#Motormouse #cars #motoring daily  is out! https://t.co/spe8pBmH4d Stories via @VinesMINI @ParkersNews @Car__Dude",FALSE,0,NA,2016-09-02 13:46:26,FALSE,NA,"771705849437970436",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","motormousecars",0,FALSE,FALSE,NA,NA
"75","Enjoy the competitive rates on our secure #car #parking #gatwick deals he
#Gatwickparking
https://t.co/V7ecH6GFc2 https://t.co/mLsCyq28f3",FALSE,0,NA,2016-09-02 13:45:04,FALSE,NA,"771705503038709760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BestParking_LGW",0,FALSE,FALSE,NA,NA
"76","OFFERS WANTED - FP52JSY #PEUGEOT 206 SW XT 60000 Miles #carsforsale #cars

VIEW - https://t.co/vWCsaMpgBN #cars #c… https://t.co/32OeGHlzUo",FALSE,0,NA,2016-09-02 13:41:50,FALSE,NA,"771704690962726912",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","dealerbid",0,FALSE,FALSE,NA,NA
"77","FP52JSY #PEUGEOT 206 SW XT 60000 Miles #carsforsale #cars

Full Details - https://t.co/W0QAWlxj1Q https://t.co/kgpQdQvWZj",FALSE,0,NA,2016-09-02 13:40:40,FALSE,NA,"771704396442898432",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","NicolaGear",0,FALSE,FALSE,NA,NA
"78","Need a new car but don't want finance? Thought about leasing? https://t.co/PF0hJVBxWC https://t.co/UhhHqaHMYw",FALSE,0,NA,2016-09-02 13:40:00,FALSE,NA,"771704231061495808",NA,"<a href=""http://eclincher.com/"" rel=""nofollow"">eClincher</a>","AutoPlanUK",0,FALSE,FALSE,NA,NA
"79","Driving our new car straight out the showroom https://t.co/7QXM4EDaqj",FALSE,0,NA,2016-09-02 13:39:51,FALSE,NA,"771704193446973441",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ChrisDavidMitch",0,FALSE,FALSE,NA,NA
"80","@HastingsDirect Been on hold for 45 minutes so far is everything ok or is this normal? #waitingtimes #long #sadness #carinsurances #car",FALSE,0,"HastingsDirect",2016-09-02 13:39:05,FALSE,NA,"771703998831288321","318922693","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","oneedham1511",0,FALSE,FALSE,NA,NA
"81","#TomTomCURFER  – How to make your car happy. Gamify driving! #gamification #driving #performance 
https://t.co/Awo4YOFK4E",FALSE,0,NA,2016-09-02 13:37:03,FALSE,NA,"771703486996242432",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gamifiplus",0,FALSE,FALSE,NA,NA
